  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps

--------------------------------------------------------
                  Surf. Water Temp. (degrees C)

Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
2018 232   16.39   23.35   22.40   24.16   23.47   24.30
2018 233   16.04   22.92   22.07   24.02   23.31   24.08
2018 234   15.88   22.54   21.67   23.81   22.97   23.73
2018 235   15.90   22.32   21.40   23.72   22.77   23.49
2018 236   15.91   22.19   21.24   23.63   22.67   23.35
2018 237   15.94   21.96   21.16   23.68   22.70   23.30
2018 238   15.95   21.80   21.06   23.85   22.72   23.42
2018 239   15.86   21.79   21.08   24.15   22.86   23.98
2018 240   15.57   21.56   20.99   24.21   23.09   24.28
2018 241   15.34   21.18   20.67   24.19   23.09   24.36
2018 242   15.34   20.97   20.32   24.08   22.87   24.28
2018 243   15.45   20.92   20.25   24.01   22.76   24.24
2018 244   15.61   20.96   20.32   24.25   22.92   24.48
2018 245   15.70   20.95   20.44   24.60   23.23   24.78
2018 246   15.73   20.96   20.52   24.86   23.55   25.00
2018 247   15.73   21.06   20.68   25.27   23.96   25.46
2018 248   15.72   21.05   20.78   25.64   24.39   25.65
2018 249   15.75   20.91   20.67   25.61   24.39   25.52
2018 250   15.69   20.63   20.43   25.22   23.96   24.96
2018 251   15.56   20.31   20.15   24.62   23.46   23.99
2018 252   15.44   19.96   19.82   23.85   22.84   22.75
2018 253   15.39   19.74   19.47   23.01   22.16   21.43
2018 254   15.51   19.80   19.20   22.30   21.54   20.49
2018 255   15.70   19.91   19.19   22.09   21.22   20.22
2018 256   15.90   20.09   19.35   22.22   21.13   20.50
2018 257   16.04   20.34   19.78   22.46   21.42   21.10
2018 258   16.10   20.65   20.17   22.68   21.84   21.50
2018 259   16.21   20.94   20.39   22.87   22.08   21.77
2018 260   15.95   21.13   20.47   22.93   22.08   22.06
2018 261   15.44   21.01   20.25   22.95   21.98   22.22
2018 262   14.99   20.62   19.81   22.81   21.72   22.07
2018 263   14.31   20.29   19.40   22.71   21.32   21.83
2018 264   13.11   19.84   18.87   22.72   20.90   21.67
2018 265   12.38   19.29   18.14   22.31   20.26   20.97
2018 266   12.37   19.01   17.73   21.72   19.59   20.39
2018 267   12.04   18.88   17.51   21.47   19.30   20.20
2018 268   11.43   18.78   17.26   21.36   19.18   20.05
2018 269   10.87   18.53   16.87   21.06   18.81   19.68
2018 270   10.47   18.27   16.51   20.75   18.32   19.20
2018 271   10.20   17.96   16.24   20.61   18.07   18.78
2018 272    9.96   17.68   16.02   20.50   17.98   18.59
2018 273    9.81   17.67   15.86   20.34   17.87   18.61
2018 274    9.71   17.58   15.58   20.23   17.69   18.60
2018 275    9.63   17.36   15.23   20.05   17.31   18.44
2018 276    9.58   17.02   14.89   19.93   17.00   18.18
2018 277    9.42   16.65   14.65   19.81   16.78   17.75
2018 278    9.32   16.48   14.57   19.75   16.68   17.56
2018 279    9.18   16.42   14.69   19.89   16.82   17.86
2018 280    9.01   16.09   14.85   20.06   17.13   18.23
2018 281    8.60   15.77   15.08   20.25   17.47   18.86
2018 282    8.08   15.39   15.10   20.40   17.88   19.43
2018 283    7.84   15.03   14.78   20.32   17.88   19.12
2018 284    7.66   14.42   14.13   20.06   17.25   18.05
2018 285    7.48   13.74   13.45   19.47   16.28   17.01
2018 286    7.35   13.28   12.82   18.63   15.39   15.97
2018 287    7.26   12.97   12.50   18.10   14.92   15.16
2018 288    7.17   12.68   12.05   17.71   14.48   14.34
2018 289    7.16   12.55   11.60   17.10   13.92   13.62
2018 290    7.20   12.36   11.21   16.57   13.19   13.00
2018 291    7.23   12.27   10.97   16.00   12.45   12.29
2018 292    7.19   12.10   10.84   15.65   12.08   11.89
2018 293    7.01   11.67   10.57   15.21   11.70   11.16
2018 294    6.85   11.15   10.27   14.57   11.59   10.70
2018 295    6.78   10.89   10.02   13.98   11.45   10.22
2018 296    6.75   10.80    9.95   13.76   11.35   10.01
2018 297    6.72   10.70    9.86   13.68   11.31    9.80
2018 298    6.71   10.65    9.73   13.44   11.09    9.61
2018 299    6.71   10.68    9.67   13.30   10.92    9.59
2018 300    6.70   10.61    9.56   12.98   10.74    9.47
2018 301    6.67   10.45    9.44   12.63   10.53    9.34
2018 302    6.62   10.26    9.35   12.31   10.30    9.23
2018 303    6.59   10.22    9.28   12.25   10.27    9.17
2018 304    6.58   10.21    9.21   12.22   10.25    9.16
2018 305    6.51   10.14    9.16   12.10   10.17    9.12
2018 306    6.47   10.03    9.07   11.74    9.97    8.99
2018 307    6.44    9.98    8.94   11.45    9.78    8.87
2018 308    6.41    9.88    8.84   11.34    9.64    8.82
2018 309    6.37    9.62    8.83   11.33    9.55    8.79
2018 310    6.32    9.30    8.83   11.32    9.46    8.71
2018 311    6.25    9.02    8.79   11.24    9.33    8.56
2018 312    6.12    8.70    8.70   11.06    9.13    8.33
2018 313    5.98    8.20    8.32   10.56    8.84    7.56
2018 314    5.79    7.98    8.10   10.18    8.36    7.18
2018 315    5.63    7.68    7.83    9.86    8.13    6.78
2018 316    5.44    7.55    7.62    9.67    8.04    6.42
2018 317    5.34    7.43    7.43    9.51    7.92    6.09
2018 318    5.22    7.37    6.92    8.89    7.76    5.51
2018 319    5.20    7.35    6.72    8.52    7.56    5.47
2018 320    5.17    7.29    6.59    8.25    7.32    5.47
