  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps
  
--------------------------------------------------------
               Surf. Water Temp. (degrees C)
   
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
2004 304    8.33   12.18   11.65   14.12   11.67   12.93
2004 305    8.28   11.98   11.51   13.99   11.55   12.75
2004 306    8.24   11.77   11.22   13.72   11.47   12.15
2004 307    8.21   11.58   10.81   13.43   11.35   11.56
2004 308    8.24   11.50   10.55   13.22   11.24   11.12
2004 309    8.22   11.39   10.31   13.02   11.14   10.71
2004 310    8.08   11.20    9.97   12.66   10.63   10.30
2004 311    7.96   11.05    9.79   12.48    9.95   10.09
2004 312    7.75   10.89    9.60   12.37    9.44    9.92
2004 313    7.52   10.63    9.32   12.16    9.13    9.65
2004 314    7.32   10.37    9.05   11.79    8.89    9.22
2004 315    7.17   10.15    8.83   11.52    8.77    8.92
2004 316    7.08    9.92    8.70   11.26    8.67    8.62
2004 317    7.07    9.80    8.63   11.02    8.58    8.19
2004 318    7.10    9.74    8.65   10.84    8.56    7.88
2004 319    7.09    9.67    8.63   10.64    8.59    7.73
2004 320    7.06    9.65    8.60   10.57    8.59    7.81
2004 321    7.00    9.63    8.57   10.58    8.55    7.94
2004 322    6.94    9.56    8.49   10.56    8.55    8.09
2004 323    6.85    9.49    8.42   10.51    8.56    8.19
2004 324    6.78    9.41    8.38   10.50    8.56    8.20
2004 325    6.72    9.32    8.32   10.48    8.58    8.28
2004 326    6.64    9.28    8.25   10.51    8.62    8.41
2004 327    6.56    9.20    8.21   10.47    8.66    8.39
2004 328    6.48    9.07    8.16   10.38    8.63    8.27
2004 329    6.34    8.91    7.99   10.19    8.51    7.82
2004 330    6.20    8.75    7.84    9.97    8.28    7.36
2004 331    6.10    8.57    7.69    9.74    8.04    7.01
2004 332    6.03    8.35    7.55    9.48    7.85    6.60
2004 333    5.96    8.19    7.41    9.18    7.66    6.24
2004 334    5.87    8.08    7.27    8.95    7.54    6.10
2004 335    5.84    7.98    7.21    8.79    7.51    6.16
2004 336    5.80    7.96    7.20    8.67    7.38    6.20
2004 337    5.63    7.89    7.09    8.47    7.11    6.12
2004 338    5.50    7.75    6.86    8.05    6.76    5.70
2004 339    5.46    7.63    6.77    7.87    6.68    5.32
2004 340    5.39    7.54    6.71    7.83    6.77    5.17
2004 341    5.32    7.43    6.54    7.74    6.79    5.15
2004 342    5.22    7.28    6.45    7.67    6.72    5.31
2004 343    5.13    7.09    6.33    7.47    6.61    5.45
2004 344    5.05    6.91    6.22    7.20    6.52    5.36
2004 345    4.92    6.69    5.87    6.84    6.43    5.04
2004 346    4.80    6.49    5.66    6.42    6.27    4.64
2004 347    4.73    6.24    5.53    5.99    6.12    3.98
2004 348    4.69    6.07    5.46    5.86    6.00    3.62
2004 349    4.55    5.87    5.24    5.79    5.71    3.24
2004 350    4.52    5.86    5.15    5.78    5.57    3.05
2004 351    4.52    5.84    5.13    5.68    5.43    2.98
2004 352    4.32    5.12    3.90    5.09    5.02    0.20
2004 353    4.30    5.05    3.84    4.80    4.95    0.20
2004 354    4.27    4.88    3.79    4.44    4.87    0.20
2004 355    4.24    4.72    3.72    4.15    4.76    0.20
